Governorate,Cases,Deaths,Recoveries,Active Cases,Date
BAGHDAD-KARKH,43856,664,35609,7583,2020-09-22
BAGHDAD-RUSAFA and MEDICAL City,50207,1605,41990,6612,2020-09-22
BASRAH,29037,729,22675,5633,2020-09-22
DAHUK,10124,190,3836,6098,2020-09-22
DIWANIYA,12985,349,10177,2459,2020-09-22
DIYALA,8752,198,8184,370,2020-09-22
ERBIL,15849,533,12459,2857,2020-09-22
KERBALA,19001,417,17315,1269,2020-09-22
KIRKUK,12350,500,9909,1941,2020-09-22
MISSAN,12580,313,10743,1524,2020-09-22
MUTHANNA,9864,196,7797,1871,2020-09-22
NAJAF,16634,218,14152,2264,2020-09-22
NINEWA,8897,260,7050,1587,2020-09-22
SALAH AL-DIN,6912,152,5341,1419,2020-09-22
SULAYMANIYAH,16395,830,11029,4536,2020-09-22
THI-QAR,17452,658,15205,1589,2020-09-22
WASSIT,19746,341,13628,5777,2020-09-22
ANBAR,3898,66,3328,504,2020-09-21
BABYLON,12884,462,11208,1214,2020-09-21
BAGHDAD-KARKH,42919,663,35004,7252,2020-09-21
BAGHDAD-RUSAFA and MEDICAL City,49680,1601,41339,6740,2020-09-21
BASRAH,28648,722,22430,5496,2020-09-21
DAHUK,9771,184,3710,5877,2020-09-21
DIWANIYA,12786,347,9881,2558,2020-09-21
DIYALA,8663,197,8127,339,2020-09-21
ERBIL,15739,531,12273,2935,2020-09-21
KERBALA,18881,409,17157,1315,2020-09-21
KIRKUK,12189,497,9761,1931,2020-09-21
MISSAN,12410,308,10585,1517,2020-09-21
MUTHANNA,9757,196,7625,1936,2020-09-21
NAJAF,16459,217,14039,2203,2020-09-21
NINEWA,8770,255,6966,1549,2020-09-21
SALAH AL-DIN,6701,151,5326,1224,2020-09-21
SULAYMANIYAH,16222,821,10938,4463,2020-09-21
THI-QAR,17163,657,14919,1587,2020-09-21
WASSIT,19316,341,13459,5516,2020-09-21
ANBAR,3864,66,3270,528,2020-09-20
BABYLON,12793,460,11046,1287,2020-09-20
BAGHDAD-KARKH,42093,656,34393,7044,2020-09-20
BAGHDAD-RUSAFA and MEDICAL City,49179,1595,40740,6844,2020-09-20
BASRAH,28445,713,22120,5612,2020-09-20
DAHUK,9425,178,3549,5698,2020-09-20
DIWANIYA,12697,344,9690,2663,2020-09-20
DIYALA,8600,197,8099,304,2020-09-20
ERBIL,15513,527,12058,2928,2020-09-20
KERBALA,18773,408,16938,1427,2020-09-20
KIRKUK,12071,493,9585,1993,2020-09-20
MISSAN,12252,303,10401,1548,2020-09-20
MUTHANNA,9669,195,7407,2067,2020-09-20
NAJAF,16325,211,13900,2214,2020-09-20
NINEWA,8644,253,6861,1530,2020-09-20
SALAH AL-DIN,6621,150,4708,1763,2020-09-20
SULAYMANIYAH,16064,814,10857,4393,2020-09-20
THI-QAR,16916,655,14673,1588,2020-09-20
WASSIT,19091,337,13296,5458,2020-09-20
ANBAR,3736,66,3101,569,2020-09-16
BABYLON,12330,454,10745,1131,2020-09-16
BAGHDAD-KARKH,39517,642,32042,6833,2020-09-16
BAGHDAD-RUSAFA and MEDICAL City,46899,1565,38458,6876,2020-09-16
BASRAH,26921,696,20790,5435,2020-09-16
DAHUK,8344,143,2942,5259,2020-09-16
DIWANIYA,11873,331,8957,2585,2020-09-16
DIYALA,8380,193,7648,539,2020-09-16
ERBIL,14848,503,11203,3142,2020-09-16
KERBALA,18314,388,16105,1821,2020-09-16
KIRKUK,11654,481,9073,2100,2020-09-16
MISSAN,11657,297,9760,1600,2020-09-16
MUTHANNA,9219,190,6510,2519,2020-09-16
NAJAF,15691,204,13058,2429,2020-09-16
NINEWA,8140,242,6391,1507,2020-09-16
SALAH AL-DIN,6309,133,3881,2295,2020-09-16
SULAYMANIYAH,15469,771,10377,4321,2020-09-16
THI-QAR,15883,628,13524,1731,2020-09-16
WASSIT,17875,321,12676,4878,2020-09-16
ANBAR,3640,66,2869,705,2020-09-13
BABYLON,11954,449,10485,1020,2020-09-13
BAGHDAD-KARKH,37340,633,30832,5875,2020-09-13
BAGHDAD-RUSAFA and MEDICAL City,45310,1543,36770,6997,2020-09-13
BASRAH,25872,681,19813,5378,2020-09-13
DAHUK,7526,110,2423,4993,2020-09-13
DIWANIYA,11221,318,8364,2539,2020-09-13
DIYALA,8208,189,7363,656,2020-09-13
ERBIL,14260,491,10614,3155,2020-09-13
KERBALA,17761,379,14997,2385,2020-09-13
KIRKUK,11346,462,8675,2209,2020-09-13
MISSAN,11159,291,9383,1485,2020-09-13
MUTHANNA,9070,185,5792,3093,2020-09-13
NAJAF,15179,198,12508,2473,2020-09-13
NINEWA,7590,226,5901,1463,2020-09-13
SALAH AL-DIN,6086,133,3507,2446,2020-09-13
SULAYMANIYAH,14770,739,10063,3968,2020-09-13
THI-QAR,15088,610,12812,1666,2020-09-13
WASSIT,16929,311,11534,5084,2020-09-13
ANBAR,3511,64,2734,713,2020-09-09
BABYLON,11519,440,10131,948,2020-09-09
BAGHDAD-KARKH,35252,621,29239,5392,2020-09-09
BAGHDAD-RUSAFA and MEDICAL City,42787,1514,34651,6622,2020-09-09
BASRAH,24360,661,18509,5190,2020-09-09
DAHUK,6451,87,2052,4312,2020-09-09
DIWANIYA,10394,300,7687,2407,2020-09-09
DIYALA,7786,184,6957,645,2020-09-09
ERBIL,13575,469,9752,3354,2020-09-09
KERBALA,17184,369,14568,2247,2020-09-09
KIRKUK,10822,449,7923,2450,2020-09-09
MISSAN,10552,283,8710,1559,2020-09-09
MUTHANNA,8291,175,4875,3241,2020-09-09
NAJAF,14615,186,11560,2869,2020-09-09
NINEWA,7205,212,5431,1562,2020-09-09
SALAH AL-DIN,5821,133,3491,2197,2020-09-09
SULAYMANIYAH,14204,709,9752,3743,2020-09-09
THI-QAR,13841,581,11890,1370,2020-09-09
WASSIT,15651,295,10081,5275,2020-09-09
ANBAR,3477,64,2658,755,2020-09-08
BABYLON,11422,439,9994,989,2020-09-08
BAGHDAD-KARKH,34610,616,28939,5055,2020-09-08
BAGHDAD-RUSAFA and MEDICAL City,42137,1507,34164,6466,2020-09-08
BASRAH,23961,652,18199,5110,2020-09-08
DAHUK,6240,80,2052,4108,2020-09-08
DIWANIYA,10191,296,7571,2324,2020-09-08
DIYALA,7654,183,6921,550,2020-09-08
ERBIL,13382,465,9540,3377,2020-09-08
KERBALA,16936,366,14402,2168,2020-09-08
KIRKUK,10707,442,7747,2518,2020-09-08
MISSAN,10382,281,8614,1487,2020-09-08
MUTHANNA,8117,174,4742,3201,2020-09-08
NAJAF,14514,185,11331,2998,2020-09-08
NINEWA,7053,208,5201,1644,2020-09-08
SALAH AL-DIN,5803,132,3257,2414,2020-09-08
SULAYMANIYAH,14063,701,9652,3710,2020-09-08
THI-QAR,13570,576,11677,1317,2020-09-08
WASSIT,15359,290,9663,5406,2020-09-08
ANBAR,3458,64,2614,780,2020-09-07
BABYLON,11349,436,9807,1106,2020-09-07
BAGHDAD-KARKH,33877,613,28589,4675,2020-09-07
BAGHDAD-RUSAFA and MEDICAL City,41366,1500,33657,6209,2020-09-07
BASRAH,23602,645,17824,5133,2020-09-07
DAHUK,5969,78,2052,3839,2020-09-07
DIWANIYA,9996,292,7422,2282,2020-09-07
DIYALA,7519,183,6851,485,2020-09-07
ERBIL,13183,458,9327,3398,2020-09-07
KERBALA,16709,365,14120,2224,2020-09-07
KIRKUK,10590,440,7623,2527,2020-09-07
MISSAN,10224,279,8458,1487,2020-09-07
MUTHANNA,7881,173,4650,3058,2020-09-07
NAJAF,14191,183,11068,2940,2020-09-07
NINEWA,6951,204,5041,1706,2020-09-07
SALAH AL-DIN,5686,131,3257,2298,2020-09-07
SULAYMANIYAH,13846,694,9544,3608,2020-09-07
THI-QAR,13284,567,11478,1239,2020-09-07
WASSIT,15003,284,9477,5242,2020-09-07
ANBAR,3410,64,2588,758,2020-09-06
BABYLON,11286,434,9688,1164,2020-09-06
BAGHDAD-KARKH,33302,611,28127,4564,2020-09-06
BAGHDAD-RUSAFA and MEDICAL City,40873,1495,33133,6245,2020-09-06
BASRAH,23363,637,17247,5479,2020-09-06
DAHUK,5620,75,1946,3599,2020-09-06
DIWANIYA,9801,286,7246,2269,2020-09-06
DIYALA,7471,181,6814,476,2020-09-06
ERBIL,12902,451,9106,3345,2020-09-06
KERBALA,16515,361,13762,2392,2020-09-06
KIRKUK,10483,434,7485,2564,2020-09-06
MISSAN,10039,278,8325,1436,2020-09-06
MUTHANNA,7702,172,4453,3077,2020-09-06
NAJAF,13821,181,10845,2795,2020-09-06
NINEWA,6859,201,4826,1832,2020-09-06
SALAH AL-DIN,5498,131,3177,2190,2020-09-06
SULAYMANIYAH,13688,681,9440,3567,2020-09-06
THI-QAR,13030,558,11214,1258,2020-09-06
WASSIT,14707,281,9138,5288,2020-09-06
ANBAR,3319,64,2400,855,2020-09-03
BABYLON,11061,423,9362,1276,2020-09-03
BAGHDAD-KARKH,31205,606,26997,3602,2020-09-03
BAGHDAD-RUSAFA and MEDICAL City,38965,1472,31446,6047,2020-09-03
BASRAH,22442,617,15841,5984,2020-09-03
DAHUK,4840,69,1740,3031,2020-09-03
DIWANIYA,9181,276,6919,1986,2020-09-03
DIYALA,7188,174,6458,556,2020-09-03
ERBIL,12420,435,8453,3532,2020-09-03
KERBALA,15800,347,12940,2513,2020-09-03
KIRKUK,10034,421,6950,2663,2020-09-03
MISSAN,9568,273,7873,1422,2020-09-03
MUTHANNA,7172,163,3986,3023,2020-09-03
NAJAF,13264,173,10375,2716,2020-09-03
NINEWA,6269,185,4326,1758,2020-09-03
SALAH AL-DIN,5216,126,3023,2067,2020-09-03
SULAYMANIYAH,13275,644,9185,3446,2020-09-03
THI-QAR,12143,538,10509,1096,2020-09-03
WASSIT,13677,269,8974,4434,2020-09-03
ANBAR,3262,64,2253,945,2020-08-31
BABYLON,10767,418,9101,1248,2020-08-31
BAGHDAD-KARKH,29091,594,26005,2492,2020-08-31
BAGHDAD-RUSAFA and MEDICAL City,37346,1452,29577,6317,2020-08-31
BASRAH,21763,597,14709,6457,2020-08-31
DAHUK,4137,49,1445,2643,2020-08-31
DIWANIYA,8589,262,6488,1839,2020-08-31
DIYALA,6953,171,6125,657,2020-08-31
ERBIL,11800,408,7680,3712,2020-08-31
KERBALA,15180,336,12145,2699,2020-08-31
KIRKUK,9597,409,6473,2715,2020-08-31
MISSAN,9082,268,7370,1444,2020-08-31
MUTHANNA,6469,159,3560,2750,2020-08-31
NAJAF,12647,161,9637,2849,2020-08-31
NINEWA,5952,173,4066,1713,2020-08-31
SALAH AL-DIN,4978,125,2826,2027,2020-08-31
SULAYMANIYAH,12815,617,8924,3274,2020-08-31
THI-QAR,11468,516,9941,1011,2020-08-31
WASSIT,13038,263,8277,4498,2020-08-31
ANBAR,3207,64,2209,934,2020-08-30
BABYLON,10621,416,8959,1246,2020-08-30
BAGHDAD-KARKH,28748,593,25569,2586,2020-08-30
BAGHDAD-RUSAFA and MEDICAL City,36851,1440,29010,6401,2020-08-30
BASRAH,21444,589,14303,6552,2020-08-30
DAHUK,3894,46,1445,2403,2020-08-30
DIWANIYA,8387,258,6359,1770,2020-08-30
DIYALA,6825,169,6058,598,2020-08-30
ERBIL,11631,399,7425,3807,2020-08-30
KERBALA,14929,333,11817,2779,2020-08-30
KIRKUK,9471,403,6240,2828,2020-08-30
MISSAN,9011,264,7278,1469,2020-08-30
MUTHANNA,6327,156,3393,2778,2020-08-30
NAJAF,12375,158,9469,2748,2020-08-30
NINEWA,5843,169,3751,1923,2020-08-30
SALAH AL-DIN,4825,125,2819,1881,2020-08-30
SULAYMANIYAH,12636,604,8809,3223,2020-08-30
THI-QAR,11257,514,9746,997,2020-08-30
WASSIT,12895,259,8221,4415,2020-08-30
ANBAR,3084,61,1939,1084,2020-08-27
BABYLON,10217,395,8436,1386,2020-08-27
BAGHDAD-KARKH,27705,586,23960,3159,2020-08-27
BAGHDAD-RUSAFA and MEDICAL City,35236,1422,27459,6355,2020-08-27
BASRAH,20434,570,12830,7034,2020-08-27
DAHUK,3493,35,981,2477,2020-08-27
DIWANIYA,7968,253,6011,1704,2020-08-27
DIYALA,6545,166,5661,718,2020-08-27
ERBIL,11090,364,6645,4081,2020-08-27
KERBALA,14117,327,11094,2696,2020-08-27
KIRKUK,9053,392,5649,3012,2020-08-27
MISSAN,8570,255,6851,1464,2020-08-27
MUTHANNA,5765,145,3046,2574,2020-08-27
NAJAF,11470,156,8816,2498,2020-08-27
NINEWA,5199,148,3498,1553,2020-08-27
SALAH AL-DIN,4639,124,2726,1789,2020-08-27
SULAYMANIYAH,12218,582,8617,3019,2020-08-27
THI-QAR,10563,507,9113,943,2020-08-27
WASSIT,12069,252,7677,4140,2020-08-27
ANBAR,3022,61,1888,1073,2020-08-26
BABYLON,10084,390,8329,1365,2020-08-26
BAGHDAD-KARKH,27401,581,23425,3395,2020-08-26
BAGHDAD-RUSAFA and MEDICAL City,34757,1415,26983,6359,2020-08-26
BASRAH,20180,561,12487,7132,2020-08-26
DAHUK,3415,31,942,2442,2020-08-26
DIWANIYA,7817,252,5888,1677,2020-08-26
DIYALA,6478,163,5536,779,2020-08-26
ERBIL,10870,353,6349,4168,2020-08-26
KERBALA,13857,318,10855,2684,2020-08-26
KIRKUK,8902,388,5454,3060,2020-08-26
MISSAN,8328,254,6692,1382,2020-08-26
MUTHANNA,5541,144,2959,2438,2020-08-26
NAJAF,11171,155,8512,2504,2020-08-26
NINEWA,5058,145,3263,1650,2020-08-26
SALAH AL-DIN,4517,124,2671,1722,2020-08-26
SULAYMANIYAH,12107,578,8552,2977,2020-08-26
THI-QAR,10450,507,8947,996,2020-08-26
WASSIT,11829,248,7483,4098,2020-08-26
ANBAR,2937,60,1825,1052,2020-08-25
BABYLON,9921,386,8107,1428,2020-08-25
BAGHDAD-KARKH,27176,577,23215,3384,2020-08-25
BAGHDAD-RUSAFA and MEDICAL City,34167,1408,26520,6239,2020-08-25
BASRAH,19860,553,12225,7082,2020-08-25
DAHUK,3325,31,942,2352,2020-08-25
DIWANIYA,7625,247,5773,1605,2020-08-25
DIYALA,6387,161,5382,844,2020-08-25
ERBIL,10606,345,6069,4192,2020-08-25
KERBALA,13522,309,10563,2650,2020-08-25
KIRKUK,8711,385,5197,3129,2020-08-25
MISSAN,8232,254,6525,1453,2020-08-25
MUTHANNA,5263,140,2865,2258,2020-08-25
NAJAF,11061,155,8223,2683,2020-08-25
NINEWA,4908,139,3213,1556,2020-08-25
SALAH AL-DIN,4468,122,2622,1724,2020-08-25
SULAYMANIYAH,11998,572,8483,2943,2020-08-25
THI-QAR,10180,506,8737,937,2020-08-25
WASSIT,11600,246,7275,4079,2020-08-25
ANBAR,2796,60,1728,1008,2020-08-23
BABYLON,9718,366,7672,1680,2020-08-23
BAGHDAD-KARKH,26489,568,22466,3455,2020-08-23
BAGHDAD-RUSAFA and MEDICAL City,33008,1397,25707,5904,2020-08-23
BASRAH,19103,540,11495,7068,2020-08-23
DAHUK,2932,23,942,1967,2020-08-23
DIWANIYA,7405,239,5633,1533,2020-08-23
DIYALA,6139,159,5150,830,2020-08-23
ERBIL,10136,327,5621,4188,2020-08-23
KERBALA,12992,300,9995,2697,2020-08-23
KIRKUK,8314,366,4911,3037,2020-08-23
MISSAN,7941,252,6160,1529,2020-08-23
MUTHANNA,5134,132,2693,2309,2020-08-23
NAJAF,10712,152,7725,2835,2020-08-23
NINEWA,4562,133,2843,1586,2020-08-23
SALAH AL-DIN,4384,122,2524,1738,2020-08-23
SULAYMANIYAH,11726,553,7774,3399,2020-08-23
THI-QAR,9714,503,8443,768,2020-08-23
WASSIT,11136,236,6927,3973,2020-08-23
ANBAR,2566,56,1572,938,2020-08-20
BABYLON,9452,349,7425,1678,2020-08-20
BAGHDAD-KARKH,25656,556,21528,3572,2020-08-20
BAGHDAD-RUSAFA and MEDICAL City,31182,1373,24673,5136,2020-08-20
BASRAH,17855,518,10285,7052,2020-08-20
DAHUK,2368,19,861,1488,2020-08-20
DIWANIYA,6932,233,5350,1349,2020-08-20
DIYALA,5710,155,4787,768,2020-08-20
ERBIL,9509,294,4910,4305,2020-08-20
KERBALA,12131,292,9201,2638,2020-08-20
KIRKUK,7884,352,4627,2905,2020-08-20
MISSAN,7579,249,5867,1463,2020-08-20
MUTHANNA,4737,125,2381,2231,2020-08-20
NAJAF,9928,149,7170,2609,2020-08-20
NINEWA,4246,115,2469,1662,2020-08-20
SALAH AL-DIN,4226,119,2469,1638,2020-08-20
SULAYMANIYAH,11327,536,7553,3238,2020-08-20
THI-QAR,8971,496,7729,746,2020-08-20
WASSIT,10538,222,6343,3973,2020-08-20
ANBAR,150,8,17,125,2020-06-14
BABYLON,569,18,90,461,2020-06-14
BAGHDAD-KARKH,3602,81,1563,1958,2020-06-14
BAGHDAD-RESAFA and MIDICAL CITY,6315,282,2973,3060,2020-06-14
BASRAH,1624,30,925,669,2020-06-14
DAHUK,133,0,58,75,2020-06-14
DIWANIYA,373,6,53,314,2020-06-14
DIYALA,328,20,113,195,2020-06-14
ERBIL,619,4,292,323,2020-06-14
KERBALA,677,19,340,318,2020-06-14
KIRKUK,378,11,156,211,2020-06-14
MISSAN,767,25,137,605,2020-06-14
MUTHANNA,288,13,155,120,2020-06-14
NAJAF,971,12,412,547,2020-06-14
NINEWA,84,0,51,33,2020-06-14
SALAH AL-DIN,135,2,18,115,2020-06-14
SULAYMANIYAH,1349,38,290,1021,2020-06-14
THI-QAR,790,17,326,447,2020-06-14
WASSIT,1057,21,152,884,2020-06-14
ANBAR,41,2,5,34,2020-06-07
BABYLON,360,9,45,306,2020-06-07
BAGHDAD-KARKH,2164,37,923,1204,2020-06-07
BAGHDAD-RESAFA and MIDICAL CITY,4482,180,1864,2438,2020-06-07
BASRAH,1309,23,764,522,2020-06-07
DAHUK,100,0,26,74,2020-06-07
DIWANIYA,135,3,26,106,2020-06-07
DIYALA,108,10,65,33,2020-06-07
ERBIL,372,4,233,135,2020-06-07
KERBALA,429,11,187,231,2020-06-07
KIRKUK,176,6,72,98,2020-06-07
MISSAN,320,9,70,241,2020-06-07
MUTHANNA,253,8,116,129,2020-06-07
NAJAF,506,9,337,160,2020-06-07
NINEWA,56,0,37,19,2020-06-07
SALAH AL-DIN,55,0,18,37,2020-06-07
SULAYMANIYAH,750,20,189,541,2020-06-07
THI-QAR,375,5,149,221,2020-06-07
WASSIT,375,10,60,305,2020-06-07
ANBAR,12,5,1,6,2020-06-04
BABYLON,191,8,43,140,2020-06-04
BAGHDAD-KARKH,1617,28,763,826,2020-06-04
BAGHDAD-RESAFA and MIDICAL CITY,3231,144,1329,1758,2020-06-04
BASRAH,943,21,708,214,2020-06-04
DAHUK,91,0,26,65,2020-06-04
DIWANIYA,54,1,22,31,2020-06-04
DIYALA,97,8,50,39,2020-06-04
ERBIL,292,3,230,59,2020-06-04
KERBALA,336,10,186,140,2020-06-04
KIRKUK,132,3,72,57,2020-06-04
MISSAN,253,8,50,195,2020-06-04
MUTHANNA,213,6,112,95,2020-06-04
NAJAF,410,6,320,84,2020-06-04
ANBAR,6,1,5,0,2020-06-02
BABYLON,131,5,41,85,2020-06-02
BAGHDAD-KARKH,1282,24,447,811,2020-06-02
BAGHDAD-RESAFA and MIDICAL CITY,2415,115,811,1489,2020-06-02
BASRAH,849,19,681,149,2020-06-02
DAHUK,33,0,19,14,2020-06-02
DIWANIYA,41,1,16,24,2020-06-02
DIYALA,74,7,33,34,2020-06-02
ERBIL,281,1,228,52,2020-06-02
KERBALA,244,9,124,111,2020-06-02
KIRKUK,86,3,70,13,2020-06-02
MISSAN,142,6,47,89,2020-06-02
MUTHANNA,168,4,105,59,2020-06-02
NAJAF,352,6,311,35,2020-06-02
NINEWA,51,0,14,37,2020-06-02
SALAH AL-DIN,22,0,10,12,2020-06-02
SULAYMANIYAH,396,6,173,217,2020-06-02
THI-QAR,136,4,82,50,2020-06-02
WASSIT,159,4,58,97,2020-06-02
ANBAR,6,0,5,1,2020-05-31
BABYLON,127,5,41,81,2020-05-31
BAGHDAD-KARKH,1235,23,426,786,2020-05-31
BAGHDAD-RESAFA and MIDICAL CITY,2290,109,760,1421,2020-05-31
BASRAH,827,19,658,150,2020-05-31
DAHUK,31,0,19,12,2020-05-31
DIWANIYA,33,1,13,19,2020-05-31
DIYALA,70,7,28,35,2020-05-31
ERBIL,281,1,217,63,2020-05-31
KERBALA,233,9,124,100,2020-05-31
KIRKUK,86,3,70,13,2020-05-31
MISSAN,104,5,47,52,2020-05-31
MUTHANNA,155,4,105,46,2020-05-31
NAJAF,346,6,310,30,2020-05-31
NINEWA,45,0,14,31,2020-05-31
SALAH AL-DIN,22,0,10,12,2020-05-31
SULAYMANIYAH,294,5,173,116,2020-05-31
THI-QAR,136,4,82,50,2020-05-31
WASSIT,118,4,54,60,2020-05-31
ANBAR,5,0,2,3,2020-05-13
BABYLON,47,5,26,16,2020-05-13
BAGHDAD-KARKH,316,12,124,180,2020-05-13
BAGHDAD-RESAFA and MIDICAL CITY,846,45,418,383,2020-05-13
BASRAH,633,18,373,242,2020-05-13
DAHUK,19,0,19,0,2020-05-13
DIWANIYA,12,1,11,0,2020-05-13
DIYALA,26,4,15,7,2020-05-13
ERBIL,212,1,200,11,2020-05-13
KERBALA,110,7,90,13,2020-05-13
KIRKUK,70,2,44,24,2020-05-13
MISSAN,43,2,19,22,2020-05-13
MUTHANNA,100,3,62,35,2020-05-13
NAJAF,307,6,299,2,2020-05-13
NINEWA,8,0,6,2,2020-05-13
SALAH AL-DIN,9,0,6,3,2020-05-13
SULAYMANIYAH,160,4,156,0,2020-05-13
THI-QAR,72,3,62,7,2020-05-13
WASSIT,37,2,34,1,2020-05-13
ANBAR,5,0,2,3,2020-05-12
BABYLON,47,5,26,16,2020-05-12
BAGHDAD-KARKH,282,11,119,152,2020-05-12
BAGHDAD-RESAFA and MIDICAL CITY,798,43,410,345,2020-05-12
BASRAH,601,18,347,236,2020-05-12
DAHUK,19,0,19,0,2020-05-12
DIWANIYA,12,1,11,0,2020-05-12
DIYALA,25,4,15,6,2020-05-12
ERBIL,212,1,197,14,2020-05-12
KERBALA,110,7,83,20,2020-05-12
KIRKUK,70,2,42,26,2020-05-12
MISSAN,43,2,10,31,2020-05-12
MUTHANNA,98,3,59,36,2020-05-12
NAJAF,6,0,6,0,2020-05-12
NINEWA,8,0,6,2,2020-05-12
SALAH AL-DIN,9,0,6,3,2020-05-12
SULAYMANIYAH,160,4,156,0,2020-05-12
THI-QAR,72,3,62,7,2020-05-12
WASSIT,37,2,34,1,2020-05-12
ANBAR,5,0,2,3,2020-05-11
BABYLON,47,5,26,16,2020-05-11
BAGHDAD-KARKH,256,10,118,128,2020-05-11
BAGHDAD-RESAFA and MIDICAL CITY,753,42,360,351,2020-05-11
BASRAH,583,18,304,261,2020-05-11
DAHUK,19,0,19,0,2020-05-11
DIWANIYA,12,1,11,0,2020-05-11
DIYALA,20,4,15,1,2020-05-11
ERBIL,212,1,196,15,2020-05-11
KERBALA,109,7,83,19,2020-05-11
KIRKUK,70,2,33,35,2020-05-11
MISSAN,43,2,10,31,2020-05-11
MUTHANNA,98,3,59,36,2020-05-11
NAJAF,307,6,297,4,2020-05-11
NINEWA,6,0,6,0,2020-05-11
SALAH AL-DIN,9,0,4,5,2020-05-11
SULAYMANIYAH,160,4,156,0,2020-05-11
THI-QAR,72,3,58,11,2020-05-11
WASSIT,37,2,33,2,2020-05-11
